epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.6336,1.36032,0.48299,0.83673,1.83138,0.00028,0.00028,0.00028
2,19.5655,0.42193,0.57823,0.89116,2.5944,0.000564357,0.000564357,0.000564357
3,33.8576,0.38991,0.56463,0.82993,2.33464,0.000842972,0.000842972,0.000842972
4,45.4595,0.37183,0.37415,0.92517,3.11523,0.0009703,0.0009703,0.0009703
5,56.6136,0.35408,0.59184,0.85034,2.99414,0.0009604,0.0009604,0.0009604
6,68.4635,0.37218,0.53741,0.82993,2.51302,0.0009505,0.0009505,0.0009505
7,76.5464,0.3239,0.53741,0.82993,2.84375,0.0009406,0.0009406,0.0009406
8,86.5586,0.2745,0.55102,0.83673,3.49479,0.0009307,0.0009307,0.0009307
9,96.9073,0.25157,0.56463,0.85034,2.56901,0.0009208,0.0009208,0.0009208
10,105.196,0.30604,0.53061,0.97279,3.32031,0.0009109,0.0009109,0.0009109
11,115.177,0.28263,0.59864,0.89116,3.07812,0.000901,0.000901,0.000901
12,124.965,0.21201,0.57143,0.87075,4.85677,0.0008911,0.0008911,0.0008911
13,134.393,0.23909,0.59864,0.91156,2.81641,0.0008812,0.0008812,0.0008812
14,145.042,0.22947,0.58503,0.95238,3.18555,0.0008713,0.0008713,0.0008713
15,154.824,0.19503,0.52381,0.93878,3.69857,0.0008614,0.0008614,0.0008614
16,165.154,0.20441,0.58503,0.85714,3.66667,0.0008515,0.0008515,0.0008515
17,177.001,0.17374,0.54422,0.87075,4.04753,0.0008416,0.0008416,0.0008416
18,187.793,0.17346,0.58503,0.85714,3.74544,0.0008317,0.0008317,0.0008317
19,197.525,0.18805,0.5102,0.95238,3.17839,0.0008218,0.0008218,0.0008218
20,205.858,0.15561,0.55782,0.89116,3.8418,0.0008119,0.0008119,0.0008119
21,218.691,0.15525,0.58503,0.87075,3.23438,0.000802,0.000802,0.000802
22,232.206,0.17597,0.61224,0.93197,2.48307,0.0007921,0.0007921,0.0007921
23,244.797,0.21631,0.57823,0.83673,3.18034,0.0007822,0.0007822,0.0007822
24,257.93,0.16141,0.59184,0.97959,3.33984,0.0007723,0.0007723,0.0007723
25,269.932,0.1314,0.57143,0.87755,3.45768,0.0007624,0.0007624,0.0007624
26,279.737,0.09082,0.58503,0.93878,3.26595,0.0007525,0.0007525,0.0007525
27,293.289,0.09937,0.59184,0.95918,3.83464,0.0007426,0.0007426,0.0007426
28,304.599,0.11679,0.57823,0.87075,3.78125,0.0007327,0.0007327,0.0007327
29,317.229,0.13728,0.61224,0.83673,3.53841,0.0007228,0.0007228,0.0007228
30,329.838,0.1267,0.57823,0.86395,3.60091,0.0007129,0.0007129,0.0007129
31,340.013,0.12785,0.58503,0.88435,3.23177,0.000703,0.000703,0.000703
32,352.931,0.09156,0.58503,0.85714,3.95638,0.0006931,0.0006931,0.0006931
33,366.828,0.08768,0.59184,0.87075,4.26693,0.0006832,0.0006832,0.0006832
34,378.781,0.10725,0.59184,0.91156,3.15625,0.0006733,0.0006733,0.0006733
35,393.31,0.08572,0.57823,0.84354,4.99089,0.0006634,0.0006634,0.0006634
36,405.192,0.0981,0.57823,0.88435,4.65234,0.0006535,0.0006535,0.0006535
37,420.187,0.07821,0.61224,0.88435,3.66797,0.0006436,0.0006436,0.0006436
38,433.003,0.08123,0.59864,0.86395,4.69596,0.0006337,0.0006337,0.0006337
39,444.223,0.09025,0.60544,0.87755,5.91797,0.0006238,0.0006238,0.0006238
