epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.08134,1.41159,0.80513,0.99487,0.49554,0.00026,0.00026,0.00026
2,15.0339,0.48085,0.88205,0.99487,0.28152,0.000524753,0.000524753,0.000524753
3,27.3362,0.31965,0.86667,1,0.53616,0.00078416,0.00078416,0.00078416
4,38.4028,0.40134,0.84103,0.99487,0.4039,0.0009703,0.0009703,0.0009703
5,48.8555,0.47816,0.84103,0.99487,0.3974,0.0009604,0.0009604,0.0009604
6,58.6675,0.31605,0.89231,1,0.28723,0.0009505,0.0009505,0.0009505
7,69.6589,0.287,0.88718,1,0.38126,0.0009406,0.0009406,0.0009406
8,77.8541,0.31223,0.88718,1,0.42804,0.0009307,0.0009307,0.0009307
9,85.9508,0.26679,0.90769,0.99487,0.31402,0.0009208,0.0009208,0.0009208
10,94.1787,0.27878,0.85128,0.99487,0.40794,0.0009109,0.0009109,0.0009109
11,102.595,0.26596,0.90769,1,0.27521,0.000901,0.000901,0.000901
12,110.979,0.24592,0.93333,1,0.30823,0.0008911,0.0008911,0.0008911
13,119.546,0.263,0.76923,1,1.16199,0.0008812,0.0008812,0.0008812
14,128.777,0.24536,0.90769,1,0.23837,0.0008713,0.0008713,0.0008713
15,135.871,0.19882,0.92821,1,0.18886,0.0008614,0.0008614,0.0008614
16,144.165,0.17986,0.92821,1,0.20827,0.0008515,0.0008515,0.0008515
17,151.886,0.23139,0.92821,1,0.2327,0.0008416,0.0008416,0.0008416
18,159.798,0.19152,0.94359,1,0.17815,0.0008317,0.0008317,0.0008317
19,167.373,0.16543,0.93846,1,0.17677,0.0008218,0.0008218,0.0008218
20,175.746,0.17492,0.92308,0.99487,0.23207,0.0008119,0.0008119,0.0008119
21,183.991,0.16229,0.94359,1,0.16266,0.000802,0.000802,0.000802
22,191.434,0.17879,0.92308,1,0.22652,0.0007921,0.0007921,0.0007921
23,199.622,0.14613,0.91795,1,0.19477,0.0007822,0.0007822,0.0007822
24,207.286,0.21123,0.87179,1,0.2878,0.0007723,0.0007723,0.0007723
25,215.026,0.164,0.93846,1,0.22095,0.0007624,0.0007624,0.0007624
26,223.523,0.14644,0.94872,1,0.11543,0.0007525,0.0007525,0.0007525
27,230.96,0.14776,0.90256,1,0.22589,0.0007426,0.0007426,0.0007426
28,239.791,0.15211,0.91795,1,0.23102,0.0007327,0.0007327,0.0007327
29,248.497,0.12983,0.93333,1,0.17406,0.0007228,0.0007228,0.0007228
30,256.01,0.11065,0.93846,1,0.18224,0.0007129,0.0007129,0.0007129
31,264.628,0.13804,0.94359,1,0.6705,0.000703,0.000703,0.000703
32,272.676,0.10183,0.95385,1,0.13663,0.0006931,0.0006931,0.0006931
33,280.908,0.09726,0.94872,1,0.20431,0.0006832,0.0006832,0.0006832
34,290.03,0.13295,0.92821,1,0.26379,0.0006733,0.0006733,0.0006733
35,297.915,0.10345,0.92821,1,0.21414,0.0006634,0.0006634,0.0006634
36,305.869,0.09075,0.94872,1,0.54773,0.0006535,0.0006535,0.0006535
37,314.575,0.10085,0.94872,1,0.13707,0.0006436,0.0006436,0.0006436
38,322.065,0.08386,0.95385,1,0.14898,0.0006337,0.0006337,0.0006337
39,331.337,0.10675,0.95385,1,0.15289,0.0006238,0.0006238,0.0006238
40,339.01,0.09987,0.92821,1,0.23598,0.0006139,0.0006139,0.0006139
41,347.829,0.11019,0.93846,1,0.17199,0.000604,0.000604,0.000604
42,356.035,0.07802,0.9641,1,0.18499,0.0005941,0.0005941,0.0005941
43,364.725,0.10884,0.94359,1,0.43545,0.0005842,0.0005842,0.0005842
44,374.381,0.08148,0.91795,1,0.22924,0.0005743,0.0005743,0.0005743
45,381.21,0.08398,0.94359,1,0.21239,0.0005644,0.0005644,0.0005644
46,389.939,0.09153,0.93846,1,0.18628,0.0005545,0.0005545,0.0005545
47,398.603,0.08802,0.95897,1,0.16562,0.0005446,0.0005446,0.0005446
48,406.608,0.07382,0.94872,1,0.37244,0.0005347,0.0005347,0.0005347
49,415.894,0.08261,0.94872,1,0.21993,0.0005248,0.0005248,0.0005248
50,423.627,0.07465,0.9641,0.99487,0.1986,0.0005149,0.0005149,0.0005149
51,431.76,0.0681,0.94872,1,0.18854,0.000505,0.000505,0.000505
52,442.445,0.05271,0.9641,1,0.15378,0.0004951,0.0004951,0.0004951
53,449.838,0.0607,0.95897,1,0.58098,0.0004852,0.0004852,0.0004852
54,458.501,0.03657,0.96923,1,0.17071,0.0004753,0.0004753,0.0004753
55,469.026,0.05615,0.94359,1,0.20965,0.0004654,0.0004654,0.0004654
56,477.184,0.06676,0.95897,1,0.17091,0.0004555,0.0004555,0.0004555
57,486.939,0.07428,0.95897,1,0.20052,0.0004456,0.0004456,0.0004456
58,494.41,0.06833,0.95897,1,0.16394,0.0004357,0.0004357,0.0004357
59,502.626,0.05971,0.96923,1,0.12699,0.0004258,0.0004258,0.0004258
60,511.276,0.05601,0.9641,1,0.18965,0.0004159,0.0004159,0.0004159
61,519.234,0.0537,0.95385,1,0.13031,0.000406,0.000406,0.000406
62,527.005,0.03565,0.95385,1,0.1286,0.0003961,0.0003961,0.0003961
63,537.271,0.0512,0.96923,1,0.1406,0.0003862,0.0003862,0.0003862
64,545.292,0.03709,0.95897,1,0.13219,0.0003763,0.0003763,0.0003763
65,554.82,0.07283,0.9641,1,0.11416,0.0003664,0.0003664,0.0003664
66,562.601,0.05442,0.93846,1,0.17322,0.0003565,0.0003565,0.0003565
67,570.242,0.03392,0.96923,1,0.16367,0.0003466,0.0003466,0.0003466
68,579.602,0.04042,0.95385,1,0.18799,0.0003367,0.0003367,0.0003367
69,587.599,0.0327,0.95385,1,0.20187,0.0003268,0.0003268,0.0003268
