epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.30852,1.3105,0.83077,0.99487,0.4811,0.00032716,0.00032716,0.00032716
2,20.192,0.52723,0.88718,0.99487,0.29931,0.000647416,0.000647416,0.000647416
3,30.1339,0.50267,0.87692,1,0.31118,0.000954472,0.000954472,0.000954472
4,39.0294,0.47514,0.86154,1,0.3765,0.0009406,0.0009406,0.0009406
5,48.198,0.43706,0.84615,0.99487,0.46219,0.0009208,0.0009208,0.0009208
6,57.1839,0.40078,0.89744,0.99487,0.36489,0.000901,0.000901,0.000901
7,67.0529,0.37908,0.87692,0.99487,0.34786,0.0008812,0.0008812,0.0008812
8,75.4922,0.3599,0.89231,0.99487,0.29542,0.0008614,0.0008614,0.0008614
9,83.8835,0.33281,0.81026,0.99487,0.71436,0.0008416,0.0008416,0.0008416
10,93.7284,0.33943,0.92821,1,0.31206,0.0008218,0.0008218,0.0008218
11,103.034,0.28222,0.91282,1,0.28134,0.000802,0.000802,0.000802
12,112.643,0.31895,0.91795,1,0.26549,0.0007822,0.0007822,0.0007822
13,119.862,0.2888,0.93333,1,0.39614,0.0007624,0.0007624,0.0007624
14,129.597,0.28155,0.87179,1,0.40328,0.0007426,0.0007426,0.0007426
15,137.653,0.24099,0.90769,1,0.2383,0.0007228,0.0007228,0.0007228
16,147.04,0.26078,0.88718,1,0.42671,0.000703,0.000703,0.000703
17,155.59,0.256,0.90256,1,0.25964,0.0006832,0.0006832,0.0006832
18,164.437,0.21418,0.92821,1,0.23687,0.0006634,0.0006634,0.0006634
19,172.991,0.17481,0.93846,1,0.20131,0.0006436,0.0006436,0.0006436
20,182.382,0.20172,0.91795,1,0.24052,0.0006238,0.0006238,0.0006238
21,189.796,0.20875,0.94872,1,0.16711,0.000604,0.000604,0.000604
22,198.94,0.17431,0.93333,1,0.18886,0.0005842,0.0005842,0.0005842
23,207.941,0.15986,0.93846,1,0.18976,0.0005644,0.0005644,0.0005644
24,217.499,0.1856,0.94872,1,0.18643,0.0005446,0.0005446,0.0005446
25,226.197,0.16918,0.94872,1,0.17819,0.0005248,0.0005248,0.0005248
26,235.106,0.1577,0.93846,1,0.26045,0.000505,0.000505,0.000505
27,244.184,0.14041,0.93846,1,0.16184,0.0004852,0.0004852,0.0004852
28,253.188,0.13608,0.95897,1,0.14339,0.0004654,0.0004654,0.0004654
29,262.357,0.12842,0.94359,1,0.13094,0.0004456,0.0004456,0.0004456
30,269.974,0.12372,0.94872,1,0.22733,0.0004258,0.0004258,0.0004258
31,278.22,0.13834,0.91282,1,0.3304,0.000406,0.000406,0.000406
32,287.511,0.10867,0.95897,1,0.17256,0.0003862,0.0003862,0.0003862
33,297.307,0.10863,0.94872,1,0.20269,0.0003664,0.0003664,0.0003664
34,305.934,0.12956,0.95385,1,0.18006,0.0003466,0.0003466,0.0003466
35,315.239,0.11464,0.93846,1,0.16773,0.0003268,0.0003268,0.0003268
36,323.807,0.08336,0.94359,1,0.248,0.000307,0.000307,0.000307
37,333.366,0.08517,0.95897,1,0.16581,0.0002872,0.0002872,0.0002872
38,343.136,0.0954,0.9641,1,0.16273,0.0002674,0.0002674,0.0002674
39,353.185,0.07366,0.9641,1,0.21792,0.0002476,0.0002476,0.0002476
40,361.528,0.10096,0.95385,1,0.19,0.0002278,0.0002278,0.0002278
41,409.625,0.06601,0.93846,1,0.23771,0.000208,0.000208,0.000208
42,419.884,0.08126,0.94359,1,0.21607,0.0001882,0.0001882,0.0001882
43,427.989,0.08376,0.96923,1,0.16981,0.0001684,0.0001684,0.0001684
44,438.254,0.07367,0.94872,1,0.19034,0.0001486,0.0001486,0.0001486
45,446.723,0.0706,0.94872,1,0.18643,0.0001288,0.0001288,0.0001288
46,456.163,0.06165,0.95385,1,0.16118,0.000109,0.000109,0.000109
47,465.915,0.06884,0.95897,1,0.16943,8.92e-05,8.92e-05,8.92e-05
48,474.217,0.04766,0.95897,1,0.23238,6.94e-05,6.94e-05,6.94e-05
49,483.46,0.06417,0.95385,1,0.14746,4.96e-05,4.96e-05,4.96e-05
